pair_ID	sentence_A	sentence_B	entailment_label	relatedness_score	SemEval_set
0	Labs waren opmerkelijk voor Cr 1,7 (baseline 0,5 per oude records) en lactaat 2,4. 	 Patiënt heeft verhoogde Cr 	ENTAILMENT	0	TRAIN
1	Labs waren opmerkelijk voor Cr 1,7 (baseline 0,5 per oude records) en lactaat 2,4. 	 Patiënt heeft normale Cr 	CONTRADICTION	0	TRAIN
2	Labs waren opmerkelijk voor Cr 1,7 (baseline 0,5 per oude records) en lactaat 2,4. 	 Patiënt heeft BUN . verhoogd 	NEUTRAL	0	TRAIN
3	Nystagmus en spiertrekkingen van de R-arm werden opgemerkt. 	 De patiënt had een abnormaal neuro-onderzoek. 	ENTAILMENT	0	TRAIN
4	Nystagmus en spiertrekkingen van de R-arm werden opgemerkt. 	 De patiënt heeft een normaal neuro-onderzoek. 	CONTRADICTION	0	TRAIN
5	Nystagmus en spiertrekkingen van de R-arm werden opgemerkt. 	 De patiënt heeft een acute beroerte. 	NEUTRAL	0	TRAIN
6	De patiënt werd door zijn huisarts gezien nadat hij had geklaagd over een voorgeschiedenis van een week kortademigheid bij inspanning en beklemming van de kaken. 	 De patiënt heeft symptomen van een exacerbatie van CHF. 	ENTAILMENT	0	TRAIN
7	De patiënt werd door zijn huisarts gezien nadat hij had geklaagd over een voorgeschiedenis van een week kortademigheid bij inspanning en beklemming van de kaken. 	 De patiënt heeft geen symptomen. 	CONTRADICTION	0	TRAIN
8	De patiënt werd door zijn huisarts gezien nadat hij had geklaagd over een voorgeschiedenis van een week kortademigheid bij inspanning en beklemming van de kaken. 	 De patiënt heeft een coronaire hartziekte. 	NEUTRAL	0	TRAIN
9	In het [**Hospital 1456**] Hospital had de patiënt 10 van de 10 pijn op de borst en kreeg hij nitropaste van 5 cm, drie sublinguale nitroglycerines, morfine 4 mg intraveneus, Lopressor 5 mg intraveneus. 	 De patiënt wordt behandeld met medicijnen die worden gebruikt voor de behandeling van acuut coronair syndroom. 	ENTAILMENT	0	TRAIN
10	In het [**Hospital 1456**] Hospital had de patiënt 10 van de 10 pijn op de borst en kreeg hij nitropaste van 5 cm, drie sublinguale nitroglycerines, morfine 4 mg intraveneus, Lopressor 5 mg intraveneus. 	 De patiënt is asymptomatisch. 	CONTRADICTION	0	TRAIN
11	In het [**Hospital 1456**] Hospital had de patiënt 10 van de 10 pijn op de borst en kreeg hij nitropaste van 5 cm, drie sublinguale nitroglycerines, morfine 4 mg intraveneus, Lopressor 5 mg intraveneus. 	 De patiënt heeft een hartinfarct. 	NEUTRAL	0	TRAIN
12	Geschiedenis van nefrolithiasis met hematurie 5. 	 patiënt heeft een voorgeschiedenis van nierstenen 	ENTAILMENT	0	TRAIN
13	Geschiedenis van nefrolithiasis met hematurie 5. 	 patiënt heeft geen voorgeschiedenis van nierstenen 	CONTRADICTION	0	TRAIN
14	Geschiedenis van nefrolithiasis met hematurie 5. 	 patiënt heeft pijn in de flank 	NEUTRAL	0	TRAIN
15	Per patiënt nam hij gisteravond laat samen meer dan 100 pillen van Lisinopril, Nifedipine en Atenolol. 	 De patiënt heeft een overdosis medicatie genomen. 	ENTAILMENT	0	TRAIN
16	Per patiënt nam hij gisteravond laat samen meer dan 100 pillen van Lisinopril, Nifedipine en Atenolol. 	 De patiënt heeft geen extra medicatie ingenomen. 	CONTRADICTION	0	TRAIN
17	Per patiënt nam hij gisteravond laat samen meer dan 100 pillen van Lisinopril, Nifedipine en Atenolol. 	 De patiënt is depressief. 	NEUTRAL	0	TRAIN
18	Tijdelijke stimulatiedraad werd op [**11-7**] geplaatst voor aanhoudend compleet hartblok, maar per rapport was de patiënt niet afhankelijk van de pacemaker. 	 De patiënt heeft een hartaandoening 	ENTAILMENT	0	TRAIN
19	Tijdelijke stimulatiedraad werd op [**11-7**] geplaatst voor aanhoudend compleet hartblok, maar per rapport was de patiënt niet afhankelijk van de pacemaker. 	 De patiënt heeft een normale hartfunctie 	CONTRADICTION	0	TRAIN
20	Tijdelijke stimulatiedraad werd op [**11-7**] geplaatst voor aanhoudend compleet hartblok, maar per rapport was de patiënt niet afhankelijk van de pacemaker. 	 De patiënt heeft een voorgeschiedenis van hypertensie 	NEUTRAL	0	TRAIN
21	Op [**8-19**] had hij eindelijk zijn hartkatheterisatie die geen stroombeperkende coronaire hartziekte vertoonde, maar hij had wel een oplopend aorta-aneurysma van ongeveer zes cm. 	 Hartkatheterisatie bracht geen verstopping aan het licht 	ENTAILMENT	0	TRAIN
22	Op [**8-19**] had hij eindelijk zijn hartkatheterisatie die geen stroombeperkende coronaire hartziekte vertoonde, maar hij had wel een oplopend aorta-aneurysma van ongeveer zes cm. 	 Hartkatheterisatie onthulde stroombeperkende blokkade 	CONTRADICTION	0	TRAIN
